dateTime,activities-calories,activities-steps,Activities-distance,activities-floors,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-efficiency
2015-08-17,1961,6729,4,0,22:41,366,366,100
2015-08-18,2007,8068,5,0,20:01,50,50,100
2015-08-19,1776,38,0,0,,0,0,0
2015-08-20,2283,19429,14,0,22:51,545,545,100
2015-08-21,2441,23935,17,0,20:26,163,163,100
2015-08-22,2307,19408,14,0,,0,0,0
2015-08-23,1995,8414,6,0,00:01,482,482,100
2015-08-24,1847,2797,2,0,,0,0,0
2015-08-25,1809,1336,0,0,21:01,20,20,100
2015-08-26,1777,12,0,0,21:01,20,20,100
2015-08-27,1788,499,0,0,,0,0,0
2015-08-28,1777,12,0,0,,0,0,0
2015-08-29,1775,68,0,0,21:21,40,40,100
2015-08-30,1777,11,0,0,18:12,146,146,100
2015-08-31,1765,,0,0,11:20,134,134,100
2015-09-01,1765,,0,0,21:01,60,60,100
2015-09-02,1765,,0,0,21:01,50,50,100
2015-09-03,1765,,0,0,,0,0,0
2015-09-04,1765,,0,0,,0,0,0
2015-09-05,1777,12,0,0,,0,0,0
2015-09-06,1777,19,0,0,,0,0,0
2015-09-07,1765,,0,0,14:01,40,40,100
2015-09-08,1765,,0,0,14:01,109,109,100
2015-09-09,1765,,0,0,21:01,62,62,100
2015-09-10,1765,,0,0,11:49,103,103,100
2015-09-11,1777,10,0,0,21:01,50,50,100
2015-09-12,1765,,0,0,,0,0,0
2015-09-13,1765,,0,0,,0,0,0
2015-09-14,1765,,0,0,,0,0,0
2015-09-15,1765,,0,0,,0,0,0
2015-09-16,1765,,0,0,,0,0,0
2015-09-17,1765,,0,0,,0,0,0
2015-09-18,1765,,0,0,,0,0,0
2015-09-19,1765,,0,0,,0,0,0
2015-09-20,1765,,0,0,,0,0,0
2015-09-21,1765,,0,0,13:50,61,61,100
2015-09-22,1765,,0,0,21:01,60,60,100
2015-09-23,1765,,0,0,13:50,61,61,100
2015-09-24,1765,,0,0,20:00,40,40,100
2015-09-25,1765,,0,0,,0,0,0
2015-09-26,1765,,0,0,,0,0,0
