dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,Activities-distance,activities-floors,activities-elevation,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,total giornata,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
2015-05-31,0,0.0,1998,1778,8454,6,0,0,842,117,0,0,959,01:55,481,481,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-01,0,0.0,1911,1778,5510,4,0,0,893,79,0,0,972,00:57,468,468,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-02,0,0.0,1981,1778,7338,5,0,0,1341,99,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-03,0,0.0,1929,1778,6824,5,0,0,879,112,0,0,991,01:17,449,449,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-04,0,0.0,1937,1778,6953,5,0,0,870,110,0,0,980,01:04,460,460,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-05,0,0.0,2015,1778,9891,7,0,0,1291,149,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-06,0,0.0,1983,1778,8921,7,0,0,797,137,0,0,934,00:18,506,506,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-07,0,0.0,1892,1778,4997,4,0,0,1362,78,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-08,0,0.0,1909,1778,5427,4,0,0,872,83,0,0,955,00:44,485,485,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-09,0,0.0,2041,1778,10144,7,0,0,883,137,0,0,1020,01:41,420,420,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-10,0,0.0,2027,1778,9800,7,0,0,911,133,0,0,1044,03:27,396,396,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-11,0,0.0,1892,1778,4771,4,0,0,1167,72,0,0,1239,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-12,0,0.0,1880,1778,4763,4,0,0,775,82,0,0,857,20:39,784,784,0,0,0,0,100,75.0,23.671255111694336,18.5
