dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,activities-distance,activities-floors,activities-elevation,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
2015-05-31,0,0.0,1778,1778,0,0.0,0,0,959,0,0,0,01:55,481,481,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-01,0,0.0,1778,1778,0,0.0,0,0,972,0,0,0,00:57,468,468,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-02,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-03,0,0.0,1778,1778,0,0.0,0,0,991,0,0,0,01:17,449,449,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-04,0,0.0,1778,1778,0,0.0,0,0,980,0,0,0,01:04,460,460,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-05,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-06,0,0.0,1778,1778,0,0.0,0,0,934,0,0,0,00:18,506,506,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-07,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-08,0,0.0,1778,1778,0,0.0,0,0,955,0,0,0,00:44,485,485,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-09,0,0.0,1778,1778,0,0.0,0,0,1020,0,0,0,01:41,420,420,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-10,0,0.0,1778,1778,0,0.0,0,0,1044,0,0,0,03:27,396,396,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-11,0,0.0,1778,1778,0,0.0,0,0,1239,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-12,0,0.0,1778,1778,0,0.0,0,0,857,0,0,0,20:39,784,784,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-13,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-14,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-15,0,0.0,1778,1778,0,0.0,0,0,1002,0,0,0,00:46,438,438,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-16,0,0.0,1778,1778,0,0.0,0,0,978,0,0,0,00:44,462,462,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-17,0,0.0,1778,1778,0,0.0,0,0,971,0,0,0,00:34,469,469,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-18,0,0.0,1778,1778,0,0.0,0,0,982,0,0,0,00:53,458,458,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-19,0,0.0,1778,1778,0,0.0,0,0,1055,0,0,0,01:27,385,385,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-20,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-21,0,0.0,1778,1778,0,0.0,0,0,1440,0,0,0,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-22,0,0.0,1778,1778,0,0.0,0,0,963,0,0,0,00:49,477,477,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-23,0,0.0,1778,1778,0,0.0,0,0,987,0,0,0,00:31,453,453,0,0,0,0,100,75.0,23.671255111694336,18.5
